sol,easting,northing,elevation,latitude,longitude
0,8146811.223,-272039.268,-4501.04,-4.643738049,137.441632997
5,8146811.223,-272039.268,-4501.04,-4.643738049,137.441632997
12,8146811.223,-272039.268,-4501.04,-4.643738049,137.441632997
15,8146811.223,-272039.268,-4501.04,-4.643738049,137.441632997
16,8146817.21,-272039.15,-4501.21,-4.64373603,137.441734
21,8146814.363,-272035.346,-4501.48,-4.643671107,137.441685971
22,8146826.607,-272035.482,-4502.38,-4.643673428,137.441892534
24,8146843.725,-272038.08,-4502.6,-4.643717772,137.442181325
26,8146861.191,-272056.004,-4503.03,-4.644023705,137.442475987
29,8146885.959,-272078.049,-4503.53,-4.644399977,137.442893838
38,8146910.129,-272085.295,-4504.62,-4.644523654,137.443301601
39,8146931.566,-272089.74,-4504.7,-4.644599523,137.443663256
40,8146962.057,-272073.023,-4504.45,-4.644314191,137.444177658
41,8146985.961,-272061.77,-4504.88,-4.644122121,137.444580933
42,8147013.818,-272073.33,-4507.18,-4.6443194310000004,137.445050897
43,8147029.205,-272099.09,-4507.91,-4.644759112,137.445310485
45,8147031.41,-272096.65,-4508.06,-4.644717465,137.445347685
48,8147070.072,-272088.666,-4510.37,-4.644581192,137.445999936
49,8147100.09,-272088.967,-4512.09,-4.644586329,137.446506358
50,8147147.398,-272081.279,-4515.61,-4.644455108,137.447304472
52,8147182.713,-272074.529,-4516.6,-4.644339896,137.447900258
53,8147185.084,-272074.732,-4516.55,-4.644343361,137.447940258
55,8147206.207,-272074.578,-4517.85,-4.644340733,137.448296616
56,8147209.424,-272071.85,-4517.91,-4.64429417,137.448350889
57,8147208.732,-272072.021,-4517.91,-4.644297089,137.448339214
59,8147208.885,-272070.605,-4517.89,-4.64427292,137.448341795
100,8147207.014,-272072.137,-4517.9,-4.644299069,137.44831023
102,8147229.826,-272067.734,-4518.3,-4.644223917,137.448695083
111,8147228.682,-272066.205,-4518.23,-4.644197819,137.448675783
120,8147237.818,-272097.092,-4518.26,-4.64472501,137.448829913
121,8147254.275,-272087.537,-4518.66,-4.644561921,137.449107552
122,8147255.088,-272087.141,-4518.67,-4.644555162,137.449121268
123,8147268.602,-272074.068,-4519.78,-4.644332028,137.449349257
124,8147264.332,-272062.875,-4519.97,-4.644140982,137.44927722
125,8147267.496,-272049.328,-4520.89,-4.643909756,137.449330598
127,8147270.625,-272025.238,-4521.32,-4.64349858,137.449383387
130,8147270.896,-272019.701,-4520.99,-4.643404072,137.449387958
133,8147263.219,-272039.023,-4521,-4.643733867,137.449258443
147,8147261.842,-272041.547,-4520.87,-4.643776948,137.449235212
151,8147261.574,-272042.164,-4520.79,-4.643787479,137.449230691
152,8147261.102,-272044.287,-4520.68,-4.643823715,137.449222728
159,8147262.021,-272043.27,-4520.89,-4.643806356,137.449238232
162,8147256.238,-272038.307,-4520.56,-4.643721646,137.449140669
163,8147255.055,-272039.803,-4520.39,-4.64374718,137.449120711
164,8147255.971,-272039.268,-4520.45,-4.643738049,137.449136165
166,8147255.58,-272040.328,-4520.44,-4.643756141,137.449129568
272,8147254.805,-272039.268,-4520.33,-4.643738049,137.449116494
274,8147254.57,-272039.959,-4520.26,-4.643749843,137.449112529
295,8147254.543,-272041.311,-4520.25,-4.643772919,137.449112073
297,8147264.209,-272045.43,-4520.88,-4.643843224,137.449275145
299,8147257.885,-272050.756,-4519.79,-4.64393413,137.449168455
301,8147247.65,-272055.744,-4519.24,-4.644019267,137.448995784
302,8147245.742,-272057.727,-4518.81,-4.644053114,137.448963595
307,8147264.197,-272079.643,-4519.21,-4.644427184,137.449274942
308,8147251.041,-272093.27,-4518.37,-4.644659774,137.449052993
309,8147249.314,-272093.02,-4518.23,-4.644655507,137.449023857
313,8147242.566,-272097.82,-4518.26,-4.644737435,137.448910014
317,8147236.834,-272100.898,-4518.06,-4.644789972,137.448813312
324,8147231.787,-272082.871,-4518.4,-4.64448228,137.448728166
327,8147195.562,-272082.072,-4516.61,-4.644468643,137.448117028
329,8147161.057,-272082.84,-4515.42,-4.644481751,137.447534908
331,8147141.982,-272101.361,-4513.86,-4.644797874,137.447213101
333,8147134.598,-272112.646,-4512.85,-4.644990491,137.447088529
335,8147113.781,-272141.031,-4511,-4.645474976,137.446737333
336,8147087.162,-272156.916,-4509.14,-4.645746107,137.446288255
337,8147054.646,-272175.674,-4506.88,-4.646066276,137.44573969
338,8147027.971,-272194.275,-4504.87,-4.646383764,137.445289667
340,8146966.348,-272251.434,-4503.92,-4.647359374,137.444250049
342,8146930.934,-272297.953,-4500.99,-4.648153377,137.443652594
343,8146898.4,-272298.299,-4500.16,-4.648159283,137.443103726
344,8146831.002,-272312.184,-4499.67,-4.648396277,137.441966681
345,8146773.631,-272347.381,-4499.67,-4.648997032,137.440998797
347,8146723.658,-272378,-4499.4,-4.649519648,137.440155722
